Country,Continent,Gender,Asterisk,WorldRecord,Athlete,Year,cleantime,speed
Kazakhstan,Asia,M,,,Vitaliy Savin,1992,10.08,9.920634921
Kazakhstan,Asia,F,,,Olga Safronova,2016,11.09,9.017132552
Kenya,Africa,M,,,Mike Mokamba Nyang'au,2015,10.23,9.775171065
Kenya,Africa,F,,,Eunice Kadogo,2015,11.47,8.718395815
Kiribati,Oceania,M,,,Rabangaki Nawai,2006,11.17,8.952551477
Kiribati,Oceania,F,,,Kaitinano Mwemweata,2004,13.07,7.651109411
Kyrgyzstan,Asia,M,,,Valeriy Shchekotov,1992,10.39,9.624639076
Kyrgyzstan,Asia,F,,,Elena Bobrovskaya,2004,11.35,8.810572687
Laos,Asia,M,,,Kilakone Siphonexay,2012,11.04,9.057971014
Laos,Asia,F,,,Phetsamone Paseuthxay,1998,13.04,7.668711656
Latvia,Europe,M,,,Ronalds Arajs,2011,10.18,9.823182711
Latvia,Europe,F,,,Vineta Ikauniece,1987,11.34,8.818342152
Lebanon,Asia,M,,,Mohammed Siraj Tamim,2003,10.59,9.442870633
Lebanon,Asia,F,,,Gretta Taslakian,2010,11.84,8.445945946
Lesotho,Africa,M,,,Mosito Lehata,2015,10.11,9.891196835
Lesotho,Africa,F,,,Lineo Florence Shoai,2005,12.34,8.103727715
Liberia,Africa,M,,,Emmanuel Matadi,2016,10.14,9.861932939
Liberia,Africa,F,,,Ada Udaya,2014,11.34,8.818342152
Liechtenstein,Europe,M,,,Martin Frick,1996,10.53,9.496676163
Liechtenstein,Europe,F,,,Manuela Marxer,1995,11.84,8.445945946
Lithuania,Europe,M,,,Rytis Sakalauskas,2011,10.14,9.861932939
Lithuania,Europe,F,,,Lina Grincikaite,2012,11.19,8.936550492
Luxembourg,Europe,M,Y,,Roland Bombardella,1979,10.41,9.606147935
Luxembourg,Europe,F,,,Tiffany Tshilumba,2014,11.65,8.583690987
Macau,Asia,M,,,Leong Veng Cheong,1990,10.69,9.35453695
Macau,Asia,F,,,Loi Im Lan,2015,12.13,8.244023083
Madagascar,Africa,M,,,Jean-Louis Ravelomanantsoa,1968,10.18,9.823182711
Madagascar,Africa,F,Y,,Lalao Ravaonirina,1991,11.32,8.833922261
Malawi,Africa,M,,,Eston Kaonga,1994,10.88,9.191176471
Malawi,Africa,F,,,Susan Tengatenga,2008,12.6,7.936507937
Malaysia,Asia,M,,,Badrul Hisyam Abdul Manap,2015,10.29,9.718172983
Malaysia,Asia,F,,,Shanti Govindasamy,1993,11.5,8.695652174
Maldives,Asia,M,,,Hassan Saaid,2016,10.33,9.68054211
Maldives,Asia,F,,,Shamha Ahmed,2001,12.27,8.14995925
Mali,Africa,M,,,Ousmane Diarra,1996,10.1,9.900990099
Mali,Africa,F,,,Kadiatou Camara,2008,11.39,8.779631255
Malta,Europe,M,,,Kevin Moore,2014,10.49,9.532888465
Malta,Europe,F,,,Charlotte Wingfield,2015,11.69,8.554319932
Marshall Islands,Oceania,M,,,Roman William Cress,1999,10.39,9.624639076
Marshall Islands,Oceania,F,,,Mariana Cress,2014,12.79,7.818608288
Mauritania,Africa,M,,,Cheikh Diagana,2006,10.74,9.310986965
Mauritania,Africa,F,,,Fatou Dieng,2001,11.87,8.424599832
Mauritius,Africa,M,,,Stephan Buckland,2001,10.13,9.871668312
Mauritius,Africa,F,,,Jane Thondojee,1994,11.72,8.532423208
Mexico,North America,M,Y,,Carlos Villasenor Garcia,1997,10.21,9.794319295
Mexico,North America,F,,,Liliana Allen,1999,11.09,9.017132552
Moldova,Europe,M,,,Alexandr Afteni,1984,10.3,9.708737864
Moldova,Europe,F,,,Valeriy Kachanov,1980,11.08,9.025270758
Monaco,Europe,M,,,Sebastien Gattuso,2008,10.53,9.496676163
Monaco,Europe,F,,,Carine Cresto,1992,12.97,7.710100231
